PDI-Me-COOH,,PDI-OMe-COOH,,PDI-H-COOH,
wavelength,absorbance,wavelength,absorbance,wavelength,absorbance
450,0.7564,450,0.8087,450,0.7909
449,0.7557,449,0.8086,449,0.7908
448,0.7549,448,0.8078,448,0.7907
447,0.7542,447,0.8073,447,0.7904
446,0.7534,446,0.8074,446,0.7901
445,0.7528,445,0.8067,445,0.7898
444,0.7522,444,0.8062,444,0.7894
443,0.7517,443,0.8058,443,0.789
442,0.7512,442,0.8054,442,0.7886
441,0.7507,441,0.8049,441,0.7881
440,0.7503,440,0.8046,440,0.7876
439,0.7499,439,0.8044,439,0.7871
438,0.7495,438,0.8041,438,0.7867
437,0.7494,437,0.8037,437,0.7862
436,0.7493,436,0.8034,436,0.7858
435,0.7491,435,0.8031,435,0.7853
434,0.7488,434,0.803,434,0.7849
433,0.7485,433,0.8022,433,0.7844
432,0.7481,432,0.8024,432,0.784
431,0.7476,431,0.8015,431,0.7835
430,0.7471,430,0.8011,430,0.7831
429,0.7465,429,0.8007,429,0.7826
428,0.746,428,0.8001,428,0.7822
427,0.7453,427,0.7995,427,0.7818
426,0.7448,426,0.7993,426,0.7815
425,0.7442,425,0.7985,425,0.7813
424,0.7437,424,0.7981,424,0.7811
423,0.7432,423,0.7976,423,0.781
422,0.7428,422,0.8005,422,0.7809
421,0.7423,421,0.8006,421,0.7808
420,0.7418,420,0.7997,420,0.7807
419,0.7412,419,0.7991,419,0.7806
418,0.7404,418,0.7983,418,0.7804
417,0.7395,417,0.798,417,0.7802
416,0.7387,416,0.797,416,0.7799
415,0.738,415,0.7969,415,0.7795
414,0.7374,414,0.797,414,0.7791
413,0.7368,413,0.7957,413,0.7786
412,0.7363,412,0.7947,412,0.778
411,0.7354,411,0.7944,411,0.7774
410,0.7344,410,0.7932,410,0.7767
409,0.7336,409,0.7933,409,0.7759
408,0.7328,408,0.7914,408,0.7751
407,0.7318,407,0.791,407,0.7742
406,0.731,406,0.7906,406,0.7733
405,0.7303,405,0.7889,405,0.7723
404,0.7293,404,0.7884,404,0.7713
403,0.7282,403,0.7869,403,0.7703
402,0.7272,402,0.7859,402,0.7692
401,0.7262,401,0.7856,401,0.7681
400,0.7251,400,0.7838,400,0.7669
399,0.7238,399,0.783,399,0.7656
398,0.7224,398,0.7817,398,0.7643
397,0.7211,397,0.7801,397,0.7629
396,0.7195,396,0.7782,396,0.7614
395,0.7181,395,0.7776,395,0.7598
394,0.7167,394,0.776,394,0.7582
393,0.7152,393,0.7747,393,0.7565
392,0.7135,392,0.7733,392,0.7548
391,0.7118,391,0.7714,391,0.7529
390,0.71,390,0.7697,390,0.751
389,0.7081,389,0.7685,389,0.749
388,0.7061,388,0.7668,388,0.747
387,0.7043,387,0.7653,387,0.7449
386,0.7024,386,0.7632,386,0.7427
385,0.7004,385,0.7609,385,0.7405
384,0.6984,384,0.7589,384,0.7382
383,0.6964,383,0.7567,383,0.7358
382,0.6942,382,0.7544,382,0.7334
381,0.6919,381,0.7518,381,0.7309
380,0.6897,380,0.7502,380,0.7285
379,0.6875,379,0.7475,379,0.726
378,0.6854,378,0.7449,378,0.7235
377,0.6832,377,0.7428,377,0.721
376,0.6811,376,0.7408,376,0.7186
375,0.6788,375,0.7379,375,0.7161
374,0.6766,374,0.7351,374,0.7138
373,0.6745,373,0.7331,373,0.7115
372,0.6726,372,0.731,372,0.7092
371,0.6708,371,0.7286,371,0.707
370,0.669,370,0.7257,370,0.7048
369,0.6673,369,0.724,369,0.7026
368,0.6655,368,0.7217,368,0.7005
367,0.6637,367,0.72,367,0.6983
366,0.6617,366,0.7174,366,0.6961
365,0.6602,365,0.7153,365,0.6938
364,0.6586,364,0.7127,364,0.6915
363,0.6559,363,0.7115,363,0.6892
362,0.6534,362,0.7102,362,0.6869
361,0.6513,361,0.6961,361,0.6846
360,0.6488,360,0.6962,360,0.6824
359,0.6465,359,0.6967,359,0.6804
358,0.6458,358,0.6932,358,0.6786
357,0.6449,357,0.6925,357,0.677
356,0.6441,356,0.6916,356,0.6755
355,0.6436,355,0.6908,355,0.6742
354,0.6427,354,0.6907,354,0.673
353,0.6418,353,0.6909,353,0.6718
352,0.6407,352,0.6892,352,0.6707
351,0.6395,351,0.6899,351,0.6695
350,0.6383,350,0.6892,350,0.6684
349,0.6376,349,0.6872,349,0.6672
348,0.6362,348,0.6872,348,0.666
347,0.6354,347,0.686,347,0.6648
346,0.6343,346,0.6843,346,0.6636
345,0.6334,345,0.6848,345,0.6623
344,0.6323,344,0.6837,344,0.661
343,0.6315,343,0.6833,343,0.6597
342,0.6303,342,0.682,342,0.6583
341,0.6296,341,0.6807,341,0.6569
340,0.6289,340,0.6797,340,0.6554
339,0.6278,339,0.6805,339,0.6539
338,0.6268,338,0.6793,338,0.6523
337,0.6257,337,0.6781,337,0.6506
336,0.6243,336,0.6772,336,0.6488
335,0.6226,335,0.6763,335,0.6468
334,0.6213,334,0.6754,334,0.6447
333,0.6196,333,0.6737,333,0.6424
332,0.6178,332,0.6733,332,0.6399
331,0.6158,331,0.6704,331,0.6372
330,0.6139,330,0.6687,330,0.6344
329,0.6115,329,0.6665,329,0.6312
328,0.6091,328,0.666,328,0.6279
327,0.6067,327,0.6645,327,0.6244
326,0.6041,326,0.6617,326,0.6207
325,0.6011,325,0.6595,325,0.6168
324,0.5982,324,0.6568,324,0.6128
323,0.5952,323,0.6552,323,0.6087
322,0.592,322,0.6529,322,0.6046
321,0.5889,321,0.6491,321,0.6004
320,0.5857,320,0.6468,320,0.5963
319,0.5826,319,0.6443,319,0.5923
318,0.5798,318,0.641,318,0.5884
317,0.5775,317,0.6389,317,0.5848
316,0.5752,316,0.6365,316,0.5813
315,0.5732,315,0.6349,315,0.5781
314,0.5716,314,0.6321,314,0.5752
313,0.5702,313,0.6306,313,0.5724
312,0.5686,312,0.6299,312,0.5699
311,0.5675,311,0.6285,311,0.5676
310,0.5668,310,0.6267,310,0.5654
309,0.5658,309,0.6254,309,0.5634
308,0.5649,308,0.6235,308,0.5615
307,0.5643,307,0.6226,307,0.5597
306,0.5634,306,0.6212,306,0.558
305,0.5626,305,0.6199,305,0.5564
304,0.5619,304,0.6186,304,0.5549
303,0.5612,303,0.6167,303,0.5534
302,0.5605,302,0.6162,302,0.5519
301,0.5599,301,0.6162,301,0.5505
300,0.5592,300,0.6142,300,0.5492
299,0.5585,299,0.6137,299,0.5478
298,0.5579,298,0.6118,298,0.5465
297,0.5572,297,0.6109,297,0.5452
296,0.5566,296,0.6109,296,0.5439
295,0.5559,295,0.6087,295,0.5426
294,0.555,294,0.609,294,0.5414
293,0.5539,293,0.6061,293,0.5402
292,0.5529,292,0.6051,292,0.539
291,0.5517,291,0.6036,291,0.5379
290,0.5506,290,0.6022,290,0.5369
289,0.5498,289,0.601,289,0.5359
288,0.5488,288,0.5991,288,0.535
287,0.5479,287,0.5988,287,0.5342
286,0.5471,286,0.5969,286,0.5335
285,0.5463,285,0.5969,285,0.5329
284,0.5454,284,0.595,284,0.5324
283,0.5449,283,0.5941,283,0.532
282,0.5442,282,0.5939,282,0.5317
281,0.5435,281,0.5923,281,0.5315
280,0.543,280,0.5928,280,0.5313
279,0.5426,279,0.5921,279,0.5313
278,0.542,278,0.5909,278,0.5313
277,0.5414,277,0.5903,277,0.5314
276,0.5407,276,0.5894,276,0.5315
275,0.5401,275,0.5885,275,0.5316
274,0.5394,274,0.5876,274,0.5318
273,0.5388,273,0.5879,273,0.532
272,0.5382,272,0.5867,272,0.5321
271,0.5376,271,0.5866,271,0.5322
270,0.5368,270,0.5858,270,0.5322
269,0.5362,269,0.5844,269,0.5322
268,0.5353,268,0.5837,268,0.5321
267,0.5344,267,0.5828,267,0.5318
266,0.5333,266,0.5819,266,0.5315
265,0.532,265,0.5806,265,0.5309
264,0.5305,264,0.5785,264,0.5302
263,0.5289,263,0.5769,263,0.5293
262,0.5272,262,0.5762,262,0.5282
261,0.5252,261,0.5747,261,0.5269
260,0.5234,260,0.5727,260,0.5253
259,0.5211,259,0.5705,259,0.5235
258,0.5188,258,0.5688,258,0.5214
257,0.5162,257,0.5658,257,0.5191
256,0.5137,256,0.5635,256,0.5165
255,0.5108,255,0.5611,255,0.5137
254,0.5077,254,0.5575,254,0.5107
253,0.5044,253,0.5549,253,0.5074
252,0.501,252,0.5517,252,0.5041
251,0.4975,251,0.5487,251,0.5005
250,0.494,250,0.5457,250,0.4969
249,0.4907,249,0.5426,249,0.4931
248,0.4874,248,0.5397,248,0.4893
247,0.4841,247,0.5368,247,0.4854
246,0.4811,246,0.5342,246,0.4815
245,0.4781,245,0.5312,245,0.4774
244,0.4753,244,0.5281,244,0.4734
243,0.4725,243,0.5255,243,0.4692
242,0.4699,242,0.5236,242,0.465
241,0.4672,241,0.5202,241,0.4607
240,0.4645,240,0.5173,240,0.4563
239,0.4617,239,0.5146,239,0.4517
238,0.4586,238,0.5111,238,0.4471
237,0.4556,237,0.5083,237,0.4424
236,0.4522,236,0.5038,236,0.4375
235,0.4484,235,0.5005,235,0.4326
234,0.4446,234,0.4951,234,0.4277
233,0.4407,233,0.4909,233,0.4227
232,0.4367,232,0.4863,232,0.4177
231,0.4329,231,0.4817,231,0.4127
230,0.4296,230,0.478,230,0.4079
229,0.4263,229,0.474,229,0.4031
228,0.4235,228,0.4713,228,0.3985
227,0.4209,227,0.4681,227,0.3939
226,0.4184,226,0.4643,226,0.3894
225,0.4157,225,0.4619,225,0.385
224,0.4132,224,0.4586,224,0.3805
223,0.4103,223,0.4552,223,0.3758
222,0.4073,222,0.4533,222,0.371
221,0.4038,221,0.4485,221,0.3658
220,0.3996,220,0.4452,220,0.3602
219,0.3945,219,0.4421,219,0.3541
218,0.3891,218,0.435,218,0.3474
