PDI-H-COOH,,PDI-Me-COOH,PDI-OMe-COOH
Angle,Intensity,Angle,Intensity,Angle,Intensity
14.44,36,14.44,90,14.44,33
14.46,41,14.46,107,14.46,28
14.48,38,14.48,104,14.48,39
14.5,37,14.5,80,14.5,32
14.52,28,14.52,87,14.52,31
14.54,37,14.54,75,14.54,34
14.56,39,14.56,51,14.56,33
14.58,27,14.58,60,14.58,39
14.6,31,14.6,63,14.6,40
14.62,28,14.62,66,14.62,36
14.64,35,14.64,49,14.64,40
14.66,36,14.66,51,14.66,34
14.68,38,14.68,45,14.68,45
14.7,24,14.7,46,14.7,41
14.72,41,14.72,49,14.72,47
14.74,33,14.74,43,14.74,35
14.76,33,14.76,32,14.76,26
14.78,35,14.78,53,14.78,35
14.8,34,14.8,41,14.8,44
14.82,40,14.82,51,14.82,34
14.84,42,14.84,31,14.84,46
14.86,31,14.86,45,14.86,40
14.88,38,14.88,55,14.88,36
14.9,31,14.9,60,14.9,34
14.92,35,14.92,60,14.92,37
14.94,33,14.94,60,14.94,33
14.96,33,14.96,46,14.96,33
14.98,37,14.98,55,14.98,43
15,39,15,67,15,45
15.02,40,15.02,50,15.02,48
15.04,34,15.04,76,15.04,48
15.06,49,15.06,71,15.06,33
15.08,45,15.08,70,15.08,40
15.1,50,15.1,59,15.1,47
15.12,42,15.12,63,15.12,39
15.14,40,15.14,58,15.14,37
15.16,62,15.16,61,15.16,36
15.18,34,15.18,61,15.18,39
15.2,58,15.2,59,15.2,33
15.22,81,15.22,49,15.22,31
15.24,53,15.24,58,15.24,27
15.26,67,15.26,58,15.26,34
15.28,78,15.28,59,15.28,40
15.3,74,15.3,46,15.3,29
15.32,61,15.32,49,15.32,33
15.34,61,15.34,48,15.34,29
15.36,58,15.36,47,15.36,37
15.38,50,15.38,34,15.38,43
15.4,52,15.4,39,15.4,31
15.42,51,15.42,37,15.42,43
15.44,42,15.44,39,15.44,30
15.46,51,15.46,37,15.46,30
15.48,35,15.48,34,15.48,20
15.5,44,15.5,42,15.5,41
15.52,41,15.52,40,15.52,33
15.54,50,15.54,37,15.54,36
15.56,49,15.56,48,15.56,35
15.58,48,15.58,45,15.58,29
15.6,76,15.6,37,15.6,27
15.62,71,15.62,36,15.62,36
15.64,61,15.64,36,15.64,34
15.66,86,15.66,40,15.66,35
15.68,76,15.68,36,15.68,40
15.7,82,15.7,38,15.7,42
15.72,97,15.72,47,15.72,45
15.74,111,15.74,45,15.74,42
15.76,96,15.76,37,15.76,34
15.78,104,15.78,46,15.78,27
15.8,104,15.8,27,15.8,39
15.82,107,15.82,45,15.82,41
15.84,96,15.84,44,15.84,42
15.86,92,15.86,45,15.86,34
15.88,114,15.88,59,15.88,34
15.9,121,15.9,43,15.9,33
15.92,116,15.92,46,15.92,53
15.94,160,15.94,62,15.94,41
15.96,161,15.96,63,15.96,42
15.98,176,15.98,46,15.98,50
16,213,16,43,16,57
16.02,183,16.02,60,16.02,54
16.04,160,16.04,59,16.04,57
16.06,151,16.06,79,16.06,50
16.08,136,16.08,65,16.08,39
16.1,139,16.1,77,16.1,53
16.12,112,16.12,81,16.12,44
16.14,109,16.14,85,16.14,48
16.16,89,16.16,108,16.16,36
16.18,91,16.18,114,16.18,47
16.2,54,16.2,102,16.2,36
16.22,60,16.22,117,16.22,36
16.24,79,16.24,119,16.24,46
16.26,59,16.26,126,16.26,31
16.28,58,16.28,124,16.28,49
16.3,55,16.3,135,16.3,44
16.32,80,16.32,119,16.32,45
16.34,78,16.34,134,16.34,45
16.36,84,16.36,144,16.36,47
16.38,97,16.38,118,16.38,43
16.4,90,16.4,128,16.4,51
16.42,98,16.42,163,16.42,48
16.44,111,16.44,139,16.44,62
16.46,134,16.46,148,16.46,59
16.48,151,16.48,127,16.48,54
16.5,163,16.5,153,16.5,45
16.52,174,16.52,114,16.52,47
16.54,149,16.54,112,16.54,50
16.56,136,16.56,130,16.56,55
16.58,138,16.58,117,16.58,59
16.6,110,16.6,115,16.6,50
16.62,92,16.62,86,16.62,55
16.64,96,16.64,101,16.64,39
16.66,99,16.66,85,16.66,43
16.68,91,16.68,122,16.68,48
16.7,107,16.7,82,16.7,40
16.72,72,16.72,81,16.72,42
16.74,100,16.74,86,16.74,54
16.76,76,16.76,91,16.76,43
16.78,64,16.78,69,16.78,49
16.8,63,16.8,91,16.8,35
16.82,44,16.82,74,16.82,44
16.84,40,16.84,84,16.84,35
16.86,52,16.86,84,16.86,53
16.88,56,16.88,73,16.88,49
16.9,45,16.9,70,16.9,43
16.92,50,16.92,89,16.92,51
16.94,37,16.94,66,16.94,48
16.96,45,16.96,60,16.96,55
16.98,44,16.98,73,16.98,50
17,38,17,76,17,46
17.02,33,17.02,85,17.02,53
17.04,40,17.04,65,17.04,48
17.06,27,17.06,76,17.06,59
17.08,44,17.08,75,17.08,37
17.1,30,17.1,68,17.1,51
17.12,35,17.12,73,17.12,46
17.14,53,17.14,73,17.14,47
17.16,41,17.16,53,17.16,48
17.18,36,17.18,69,17.18,40
17.2,41,17.2,52,17.2,38
17.22,40,17.22,58,17.22,38
17.24,31,17.24,58,17.24,40
17.26,43,17.26,53,17.26,43
17.28,40,17.28,74,17.28,48
17.3,42,17.3,63,17.3,33
17.32,40,17.32,66,17.32,33
17.34,30,17.34,78,17.34,52
17.36,46,17.36,74,17.36,57
17.38,46,17.38,61,17.38,52
17.4,40,17.4,71,17.4,41
17.42,31,17.42,76,17.42,35
17.44,38,17.44,68,17.44,44
17.46,42,17.46,71,17.46,35
17.48,55,17.48,77,17.48,48
17.5,50,17.5,75,17.5,48
17.52,52,17.52,84,17.52,56
17.54,57,17.54,73,17.54,67
17.56,57,17.56,76,17.56,55
17.58,54,17.58,66,17.58,55
17.6,63,17.6,70,17.6,65
17.62,66,17.62,67,17.62,63
17.64,82,17.64,61,17.64,53
17.66,60,17.66,75,17.66,65
17.68,83,17.68,73,17.68,61
17.7,91,17.7,70,17.7,72
17.72,82,17.72,64,17.72,75
17.74,73,17.74,78,17.74,78
17.76,86,17.76,64,17.76,71
17.78,75,17.78,67,17.78,67
17.8,48,17.8,77,17.8,81
17.82,57,17.82,59,17.82,63
17.84,55,17.84,80,17.84,80
17.86,66,17.86,75,17.86,61
17.88,86,17.88,70,17.88,87
17.9,69,17.9,77,17.9,88
17.92,77,17.92,81,17.92,77
17.94,89,17.94,79,17.94,79
17.96,87,17.96,90,17.96,96
17.98,109,17.98,86,17.98,69
18,83,18,91,18,69
18.02,108,18.02,94,18.02,99
18.04,96,18.04,104,18.04,87
18.06,99,18.06,103,18.06,78
18.08,82,18.08,122,18.08,87
18.1,82,18.1,112,18.1,81
18.12,77,18.12,121,18.12,80
18.14,82,18.14,122,18.14,80
18.16,66,18.16,148,18.16,73
18.18,73,18.18,150,18.18,84
18.2,79,18.2,167,18.2,91
18.22,62,18.22,154,18.22,90
18.24,83,18.24,171,18.24,87
18.26,64,18.26,164,18.26,95
18.28,83,18.28,195,18.28,109
18.3,102,18.3,201,18.3,117
18.32,105,18.32,239,18.32,97
18.34,90,18.34,249,18.34,116
18.36,130,18.36,297,18.36,125
18.38,117,18.38,280,18.38,111
18.4,140,18.4,282,18.4,124
18.42,109,18.42,351,18.42,149
18.44,113,18.44,397,18.44,165
18.46,123,18.46,365,18.46,142
18.48,107,18.48,440,18.48,173
18.5,106,18.5,409,18.5,174
18.52,95,18.52,443,18.52,172
18.54,89,18.54,401,18.54,167
18.56,75,18.56,422,18.56,158
18.58,70,18.58,387,18.58,168
18.6,75,18.6,397,18.6,163
18.62,68,18.62,421,18.62,145
18.64,59,18.64,365,18.64,157
18.66,72,18.66,337,18.66,162
18.68,73,18.68,327,18.68,131
18.7,81,18.7,320,18.7,130
18.72,82,18.72,288,18.72,119
18.74,81,18.74,227,18.74,131
18.76,107,18.76,249,18.76,145
18.78,86,18.78,226,18.78,108
18.8,115,18.8,221,18.8,125
18.82,127,18.82,238,18.82,132
18.84,121,18.84,182,18.84,121
18.86,141,18.86,154,18.86,102
18.88,170,18.88,156,18.88,98
18.9,181,18.9,134,18.9,94
18.92,212,18.92,130,18.92,92
18.94,240,18.94,133,18.94,93
18.96,290,18.96,118,18.96,99
18.98,316,18.98,115,18.98,79
19,384,19,104,19,89
19.02,448,19.02,95,19.02,72
19.04,548,19.04,105,19.04,73
19.06,593,19.06,129,19.06,63
19.08,743,19.08,106,19.08,73
19.1,766,19.1,97,19.1,62
19.12,876,19.12,119,19.12,70
19.14,807,19.14,100,19.14,78
19.16,710,19.16,106,19.16,75
19.18,687,19.18,110,19.18,66
19.2,518,19.2,134,19.2,84
19.22,457,19.22,118,19.22,77
19.24,360,19.24,125,19.24,69
19.26,282,19.26,117,19.26,58
19.28,202,19.28,103,19.28,70
19.3,177,19.3,116,19.3,47
19.32,208,19.32,127,19.32,61
19.34,179,19.34,127,19.34,58
19.36,154,19.36,108,19.36,68
19.38,159,19.38,129,19.38,57
19.4,150,19.4,105,19.4,81
19.42,154,19.42,108,19.42,67
19.44,147,19.44,139,19.44,71
19.46,151,19.46,127,19.46,56
19.48,141,19.48,105,19.48,52
19.5,142,19.5,100,19.5,60
19.52,133,19.52,118,19.52,70
19.54,125,19.54,117,19.54,81
19.56,110,19.56,114,19.56,92
19.58,123,19.58,111,19.58,92
19.6,90,19.6,106,19.6,83
19.62,83,19.62,84,19.62,76
19.64,76,19.64,113,19.64,86
19.66,70,19.66,98,19.66,76
19.68,61,19.68,93,19.68,90
19.7,66,19.7,84,19.7,73
19.72,69,19.72,96,19.72,114
19.74,59,19.74,103,19.74,91
19.76,52,19.76,71,19.76,98
19.78,73,19.78,114,19.78,105
19.8,86,19.8,73,19.8,95
19.82,75,19.82,80,19.82,118
19.84,89,19.84,86,19.84,136
19.86,91,19.86,81,19.86,124
19.88,99,19.88,80,19.88,133
19.9,78,19.9,70,19.9,165
19.92,93,19.92,74,19.92,169
19.94,111,19.94,67,19.94,140
19.96,98,19.96,67,19.96,173
19.98,89,19.98,77,19.98,170
20,83,20,69,20,173
20.02,65,20.02,61,20.02,199
20.04,82,20.04,67,20.04,212
20.06,73,20.06,72,20.06,196
20.08,72,20.08,72,20.08,198
20.1,85,20.1,66,20.1,211
20.12,86,20.12,67,20.12,189
20.14,78,20.14,66,20.14,172
20.16,94,20.16,73,20.16,143
20.18,119,20.18,75,20.18,166
20.2,115,20.2,54,20.2,146
20.22,133,20.22,82,20.22,136
20.24,116,20.24,67,20.24,138
20.26,143,20.26,98,20.26,122
20.28,138,20.28,86,20.28,114
20.3,158,20.3,100,20.3,98
20.32,134,20.32,86,20.32,98
20.34,156,20.34,103,20.34,108
20.36,118,20.36,100,20.36,85
