PDI-H-COOH,,PDI-Me-COOH,,PDI-OMe-COOH
Wavenumber,intensity,Wavenumber,intensity,Wavenumber,intensity
723.175,63.36499,723.175,55.65054,723.175,70.79385
723.6572,62.88749,723.6572,55.16959,723.6572,70.82085
724.1393,62.42544,724.1393,54.70828,724.1393,70.87653
724.6215,61.99208,724.6215,54.25908,724.6215,70.94196
725.1035,61.60061,725.1035,53.81694,725.1035,70.9985
725.5857,61.26077,725.5857,53.38282,725.5857,71.03114
726.0677,60.97533,726.0677,52.96317,726.0677,71.02979
726.5499,60.73817,726.5499,52.56625,726.5499,70.98898
727.032,60.53562,727.032,52.19711,727.032,70.90648
727.5142,60.35063,727.5142,51.85474,727.5142,70.78187
727.9962,60.16828,727.9962,51.53239,727.9962,70.61608
728.4784,59.97988,728.4784,51.22111,728.4784,70.41163
728.9604,59.78376,728.9604,50.91407,728.9604,70.173
729.4426,59.58239,729.4426,50.60921,729.4426,69.90667
729.9247,59.37697,729.9247,50.30845,729.9247,69.61976
730.4069,59.16267,730.4069,50.01452,730.4069,69.31858
730.889,58.92655,730.889,49.72665,730.889,69.00696
731.3711,58.64971,731.3711,49.43859,731.3711,68.68603
731.8532,58.31221,731.8532,49.13972,731.8532,68.35531
732.3353,57.89836,732.3353,48.81913,732.3353,68.0145
732.8174,57.3992,732.8174,48.47018,732.8174,67.66488
733.2996,56.81168,733.2996,48.09319,733.2996,67.30939
733.7817,56.13484,733.7817,47.69449,733.7817,66.95071
734.2638,55.36628,734.2638,47.2825,734.2638,66.58895
734.7459,54.50142,734.7459,46.86269,734.7459,66.21965
735.228,53.53717,735.228,46.43445,735.228,65.83379
735.7101,52.47868,735.7101,45.99128,735.7101,65.41978
736.1923,51.34533,736.1923,45.5243,736.1923,64.96673
736.6744,50.17157,736.6744,45.02662,736.6744,64.4671
737.1565,49.00016,737.1565,44.49644,737.1565,63.91747
737.6386,47.86876,737.6386,43.93677,737.6386,63.31718
738.1207,46.79543,738.1207,43.35288,738.1207,62.66559
738.6028,45.77069,738.6028,42.74881,738.6028,61.95992
739.085,44.76186,739.085,42.12634,739.085,61.19518
739.5671,43.7301,739.5671,41.48656,739.5671,60.36679
740.0492,42.6541,740.0492,40.83416,740.0492,59.47491
740.5313,41.5498,740.5313,40.1806,740.5313,58.52823
741.0134,40.47725,741.0134,39.54348,741.0134,57.54513
741.4955,39.52939,741.4955,38.94061,741.4955,56.55133
741.9777,38.80613,741.9777,38.38076,741.9777,55.57515
742.4598,38.38429,742.4598,37.85521,742.4598,54.64254
742.9419,38.29597,742.9419,37.33573,742.9419,53.77491
743.424,38.52445,743.424,36.78127,743.424,52.99062
743.9061,39.01723,743.9061,36.15238,743.9061,52.30855
744.3882,39.70873,744.3882,35.42864,744.3882,51.7508
744.8704,40.54219,744.8704,34.62253,744.8704,51.34093
745.3525,41.4826,745.3525,33.78391,745.3525,51.09767
745.8346,42.5175,745.8346,32.99263,745.8346,51.02612
746.3167,43.6472,746.3167,32.34089,746.3167,51.11081
746.7988,44.87092,746.7988,31.91147,746.7988,51.3149
747.2809,46.17465,747.2809,31.75909,747.2809,51.58664
